"pop" "id" "k.value.run" "X1" "X2" "X3" "membership"
"1" "AL" "AL1" 1 1 NA NA 1
"2" "AL" "AL11" 1 1 NA NA 1
"3" "AL" "AL13" 1 1 NA NA 1
"4" "AL" "AL14" 1 1 NA NA 1
"5" "AL" "AL23" 1 1 NA NA 1
"6" "AL" "AL32" 1 1 NA NA 1
"7" "AL" "AL5" 1 1 NA NA 1
"8" "AL" "AL7" 1 1 NA NA 1
"9" "BR" "BR20" 1 1 NA NA 1
"10" "BR" "BR24" 1 1 NA NA 1
"11" "BR" "BR28" 1 1 NA NA 1
"12" "BR" "BR31" 1 1 NA NA 1
"13" "BR" "BR33" 1 1 NA NA 1
"14" "BR" "BR36" 1 1 NA NA 1
"15" "CB" "CB1" 1 1 NA NA 1
"16" "CL" "CL11" 1 1 NA NA 1
"17" "CL" "CL12" 1 1 NA NA 1
"18" "CL" "CL19" 1 1 NA NA 1
"19" "CL" "CL21" 1 1 NA NA 1
"20" "CL" "CL24" 1 1 NA NA 1
"21" "CL" "CL25" 1 1 NA NA 1
"22" "CL" "CL28" 1 1 NA NA 1
"23" "CL" "CL29" 1 1 NA NA 1
"24" "CL" "CL33" 1 1 NA NA 1
"25" "CL" "CL38" 1 1 NA NA 1
"26" "CL" "CL40" 1 1 NA NA 1
"27" "CL" "CL41" 1 1 NA NA 1
"28" "CL" "CL45" 1 1 NA NA 1
"29" "CL" "CL50" 1 1 NA NA 1
"30" "CL" "CL53" 1 1 NA NA 1
"31" "CL" "CL58" 1 1 NA NA 1
"32" "CL" "CL64" 1 1 NA NA 1
"33" "CL" "CL64.2" 1 1 NA NA 1
"34" "CPN" "CPN12" 1 1 NA NA 1
"35" "CPN" "CPN13" 1 1 NA NA 1
"36" "CPN" "CPN19" 1 1 NA NA 1
"37" "CPN" "CPN23" 1 1 NA NA 1
"38" "CPN" "CPN25" 1 1 NA NA 1
"39" "CPN" "CPN33" 1 1 NA NA 1
"40" "CPN" "CPN9" 1 1 NA NA 1
"41" "CPSE" "CPSE15" 1 1 NA NA 1
"42" "CPSE" "CPSE19" 1 1 NA NA 1
"43" "CPSE" "CPSE20" 1 1 NA NA 1
"44" "CPSE" "CPSE23" 1 1 NA NA 1
"45" "CPSE" "CPSE25" 1 1 NA NA 1
"46" "CPSE" "CPSE33" 1 1 NA NA 1
"47" "CPSE" "CPSE34" 1 1 NA NA 1
"48" "CPSE" "CPSE9" 1 1 NA NA 1
"49" "GC" "GC1" 1 1 NA NA 1
"50" "GC" "GC14" 1 1 NA NA 1
"51" "GC" "GC18" 1 1 NA NA 1
"52" "GC" "GC2" 1 1 NA NA 1
"53" "GC" "GC21" 1 1 NA NA 1
"54" "GC" "GC24" 1 1 NA NA 1
"55" "GC" "GC30" 1 1 NA NA 1
"56" "GC" "GC31" 1 1 NA NA 1
